restaurantLink;restaurant;category;locaition;date;starsValue;text;useful;funny;cool
/biz/freemans-new-york-3;Freemans;Breakfast & Brunch,Lounges,American;Lower East Side, New York;Mar 26, 2023;4;We visited for a birthday brunch on a Sunday. The only issue we had was parking. I do admit I loved the location being down the alley. It felt like we were heading to a speakeasy.  We were early for our reservation so we sat at the bar and had a drink. Even though the bar area was small it felt cozy. There were two levels to the restaurant. Once our room was ready we were escorted upstairs. Every one we encountered were courteous.  Once our whole party arrived everything moved quickly. The meal was family style which was nice because you got to try a little bit of everything. We were not disappointed, the food was delicious.;--;--;1
/biz/bonefish-grill-rockville-centre;Bonefish Grill;Seafood;Rockville Centre, NY;Mar 26, 2023;5;I have been meaning to write this update for quite a while. I have visited this location about 2/3 times after my last review and it has been great every time.;--;--;--
/biz/the-melting-pot-red-bank-3;The Melting Pot;Fondue;Red Bank, NJ;Mar 26, 2023;4;We were here for a birthday celebration. The place was clean, including the bathroom. Loved that there was full doors on the stalls. Never understood why most bathroom stalls have openings on the sides. Back to dinner, the servers were attentive, patient, nice and informative. Most of the group has never visited this restaurant before so there was quite a bit of questions.  I loved that it was all family style. We had a fun time trying pretty much a little bit of everything. Every one also seemed pretty happy with their drinks. Will definitely visit again.;--;--;--
/biz/small-batch-garden-city;Small Batch;New American,Breakfast & Brunch,Cocktail Bars;Garden City, NY;Mar 6, 2023;5;Visited for Sunday Brunch with my niece. It is located outside of Roosevelt Field Mall so finding nearby parking depends on time of day. They didn't offer valet parking.  We were seated pretty quick when we arrived. The decor was beautiful and clean. The staff was pleasant and patient.  We enjoyed our food and drinks. I had the Wagyu Burger and my niece had the Steak Frites. We drank a Mimosa and an Agave Ginger non alcoholic drink.  For dessert we had the apple crumble and the cookie skillet. We cannot wait to visit again. Looking forward to trying their dinner menu.;1;--;--
/biz/excelsior-child-care-springfield-gardens;Excelsior Child Care;Child Care & Day Care,Preschools;Springfield Gardens, NY;Jan 23, 2023;5;We are so happy that we found this school. My daughter loves going to school and her teachers. Everyone at the school is great. I don't know how they do what they do but I'm amazed at how much she knows for her age. They have trips and activities in the school that teaches them about all different cultures. They are always thinking of new ways to do fun things with and for the kids and their families.;--;--;1
/biz/las-santas-brooklyn-2;Las Santas;Mexican,Cocktail Bars,Breakfast & Brunch;Fort Greene, Brooklyn;Jun 13, 2022;5;1st time visiting this restaurant and the service was great. The food was great. The vibe was great.;2;2;1
/biz/seasons-52-garden-city-2;Seasons 52;New American,Wine Bars,Seafood;Garden City, NY;May 22, 2022;4;This was a late Mother's Day Dinner and this restaurant we've always wanted to try and I'm glad we finally made it. Alex was our waiter and Darnel was our server and they were absolutely the best. Everything Alex recommended was delicious. I also have to give praises to the bartender because everyone of our drinks were perfect. I hate the taste of alcohol but those drinks. Omg. I had 4 drinks, something I never do. I originally said this wouldn't be a repeat restaurant because they didn't have 2 things that I love, calamari and tiramisu but once I tasted the pesto and chicken flatbread, it was a game changer. We had the flatbread and crab cake for starters. Followed by the Pork Loin that Alex suggested  and the Steak and Lobster Tail. For dessert we had the cookie and cream and coconut cups. We have now added Seasons 52 to our go to restaurants.;4;2;3
/biz/ni-ramen-lynbrook;Ni Ramen;Ramen,Soup,Tapas/Small Plates;Lynbrook, NY;Mar 7, 2022;5;Enjoyed everything we tried. The staff was pleasant and attentive. The decor was beautiful. Will return again to try more ramen.;2;2;2
/biz/david-burke-prime-mashantucket-2;David Burke Prime;Steakhouses;Mashantucket, CT;Nov 30, 2021;5;Once again an outstanding dinner. After my mom saw my pics from my first visit she requested that I take her some time. This time around I brought my mom, my aunts, my sister and a family friend and of course everyone loved every part of dinner. The staff as always pleasant and attentive and becomes part of the great experience. When they brought the Bacon to the table they all took notice and knew this was going to be a great night. The drinks, the bread, the appetizers, the main course, the dessert and the cotton candy (the closer) was all absolutely delicious. Once again, I can't wait to visit again soon.;3;2;2
/biz/g-spa-and-salon-mashantucket;G Spa & Salon;Day Spas;Mashantucket, CT;Nov 30, 2021;5;We had a massage and then some time in the sauna. Our massage therapists were great. Everyone was very zen after their appointments. Unfortunately we didn't get to enjoy all the amenities but we have decided that every time we visit we have to do a whole spa day.;2;2;2
/biz/the-fox-tower-foxwoods-mashantucket;The Fox Tower - Foxwoods;Hotels,Casinos;Mashantucket, CT;Nov 30, 2021;4;Great Staff. Rooms were clean and the beds were comfortable. Our party had 3 rooms reserved and we requested them all together. I loved that when they realized there was an issue with one of the rooms they offered a very nice solution which really made our day. We can't wait to visit again.;2;2;3
/biz/wildplay-wantagh;WildPlay;Ziplining,Day Camps,Challenge Courses;Wantagh, NY;Nov 30, 2021;4;Staff is great and very knowledgeable. They are also great at motivating you to power through. This was our first time on one of these courses and were really happy we came to this location. The view was great.;1;2;2
/biz/juniors-restaurant-and-bakery-foxwoods-mashantucket;Junior's Restaurant & Bakery - Foxwoods;American;Mashantucket, CT;Nov 30, 2021;3;We were seated very quickly. Our server came over right away to introduce herself and take any drink orders. We were here for breakfast so we all had some kind of coffee. When we received our drinks they all tasted warm. We didn't bother to say anything because they weren't big amounts. Our meal orders came out as requested but that too wasn't hot. We didn't make a big deal of it because we were only visiting for one day and wanted to get the day started. Besides the temperature issue, everything else was nice. Staff was absolutely great. Establishment was clean and comfortable.;1;2;3
/biz/massapequa-perk-massapequa-park;Massapequa Perk;Coffee & Tea,Bagels,Juice Bars & Smoothies;Massapequa Park, NY;Oct 21, 2021;5;I've been here 3 times and every time my latte was made perfectly by someone different each time. They have a lot of options for flavors and they have a small selection of pastries, mostly muffins. 2 out of 3 times there was bagel available. It's a small location but they also have outside seating. There is a couch and 2 chairs and a coffee table, just like the Central Perk in Friends. They also have books available to sit and read. Everyone that I've interacted with has always been pleasant. This is my new go to location when I'm in Massapequa Park.;--;1;1
/biz/carvel-hewlett;Carvel;Ice Cream & Frozen Yogurt;Hewlett, NY;Jul 8, 2021;5;This rating is for the wonderful gesture by the employee on July 5th. We went in to get our 2yr old ice cream and I also got a cone for myself. We decided to eat the ice cream in the car in the parking lot before we headed home. Unfortunately her cup fell and my husband went to toss it in the trash which happened to be in front of the carvel and I was going to give her my cone. As my husband was walking back to the car the employee came running out with the same order we had gotten for our daughter. This was very very sweet and kind of the employees that I had to share this experience. Thank you again.;--;--;--
/biz/homewood-suites-by-hilton-stratford-stratford-2;Homewood Suites by Hilton Stratford;Hotels;Stratford, CT;May 8, 2021;3;I liked the location of the hotel. Easy access to the highways and close to gas stations and restaurants.  I requested a non smoking one bedroom suite. Check in was quick and easy. You can also reserve your pool time when checking in. All the staff that I've had interactions with were great with the exception of one, I'll get to that later. I get to the room, it was a nice size. Everything looked clean until later when I was getting ready for the pool and I took my slippers off I noticed all the pet hair that accumulated in my slippers. I do suggest getting the carpets shampooed. Not exactly what you want to find when you're staying with a toddler that drops their snacks while eating and tries to pick it up and still eat it. Also the walls are really thin. At night I could actually hear someone walking to the toilet, peeing and flushing their toilet. Also there are times when the water doesn't get hot enough to take a comfortable shower. I'm guessing it's too many guests showering at the same time. We did enjoy having the pool to ourselves for 30 minutes at a time and I love the fact that you have a kitchenette.  I deducted a second star because of the very last staff member that I interacted with before stepping off the property which almost didn't happen. I really wished it didn't happen. Time to check out, so we packed up the car and drove around to the lobby. I walked in and there was no one at the desk. A woman who I assumed was a staff member that was leaving noticed me standing there as she was walking to the door and asked very pleasantly what I needed. I told her I was checking out and she said all I had to do was leave the key card as she pointed towards the counter. I walked over to the counter and as I was putting the card on the counter I noticed a metal holder with the sign for the key cards. As I dropped the card in the holder and started walking off a woman comes running from the back saying hello and then she said hold on so I stopped. She got to the counter, catches her breath and asks ,how can I help you? I explained I was checking out and I've already dropped the cards in the holder. She then asked for the room number. I answered and then she asked did I have a good stay? I said yes. Then she bent her head down and looked at me as though she was looking from the top of imaginary glasses with a smirk and asked you smoked in the room? Almost like you know between you and me I know you did. I was taken back and looked at her for a second and said no. Her facial expression didn't seem like she believed the answer and she said have a nice day. I walked out stunned and hoped that she asked all the guests that same question in the same accusatory tone. I've stayed in many hotels and have never been asked that before when checking out. It definitely left a bad taste.  I've been going back and forth asking myself if I should write this review but after waking up at 5:30A the next day with that interaction still playing over and over in my head I just had to get it off my chest.;--;--;--
/biz/bjs-restaurant-and-brewhouse-valley-stream;BJ's Restaurant & Brewhouse;New American,Breweries;Valley Stream, NY;May 7, 2020;5;I have ordered about three times since the shut down in NYC and everything I've ordered from Burgers to Sweet Potato Fries and Calamari has all been delicious. I love the consistency of great food.;--;--;--
/biz/spring-gardens-jamaican-restaurant-springfield-gardens;Spring Gardens Jamaican Restaurant;Caribbean;Springfield Gardens, NY;Sep 8, 2018;1;This is based on only soup. Just ordered two medium beef and not one piece of beef. It should've been called peas soup. Barely potato and piece of a dumpling in one. Nothing but peas in the second one. The only reason I'm writing this review is because we ordered a large chicken soup and there was not one piece of chicken and a bunch of potato. I let it slide last week but this is just upsetting at this point.;1;3;1
/biz/havana-central-garden-city;Havana Central;Caterers,Cuban,Latin American;Garden City, NY;Jul 30, 2018;5;Took my husband here for his birthday and we both loved it. Everything we ordered was prepared quickly and tasted great. Loved the live music. It has us dancing in our seats. We can't wait to visit again.;2;1;2
/biz/nassau-coliseum-uniondale;Nassau Coliseum;Stadiums & Arenas;Uniondale, NY;Jul 30, 2018;1;Don't understand with so much security for cell phone usage that you don't notice people smoking their E-cigarettes which was very uncomfortable for everyone in the area especially the pregnant woman. The huge clouds of smoke was very visible. I'll try another venue next time I'm going to see a Kevin Hart show or any other show.;1;1;1
/biz/besito-mexican-restaurant-roslyn-roslyn-3;Besito Mexican Restaurant - Roslyn;Mexican,Cocktail Bars;Roslyn, NY;Jun 22, 2018;4;We enjoyed the food, the atmosphere and the staff was very pleasant and attentive. We look forward to visiting again.;--;1;1
/biz/k-rico-steakhouse-new-york;K Rico Steakhouse;Bars,Steakhouses,Venues & Event Spaces;Theater District, New York;Jun 22, 2018;5;We had reservations and half of our party arrived about 15-20 minutes early and they seated them right away. Our server and all the staff was very attentive and pleasant.  Everyone enjoyed their drinks except for the lemonade which was unsweetened, but that's just a personal preference. We had not one complaint from our party of 12 about the appetizers, entree's or dessert. It was all delicious and well prepared.  They also have a beautiful back patio which is quite romantic at night. The restaurant itself is quite cozy and romantic. The music had everyone dancing in their seats while waiting for their meal.  I'm looking forward to visiting again. Maybe for brunch next time.;3;2;2
/biz/caffe-roma-pastry-new-york;Caffe Roma Pastry;Bakeries,Coffee & Tea;Little Italy, New York;May 29, 2018;5;This is a review only from a Tiramisu cake that was ordered for a party. The cake came with a shot of espresso which I poured over the cake. OMG talk about Pastry heaven. The cake was so delicious. Everyone raved about it. Next time we may have to place an order for more than one cake to accommodate the demand.;1;1;2
/biz/river-house-grille-freeport;River House Grille;Seafood,Bars,Delis,Sandwiches;Freeport, NY;May 29, 2018;4;Had an enjoyable time here with some friends. The only reason this wasn't a five star review was because a few times we were unable to find our server and there was a couple of mix ups with the orders. Other than that the food and drinks were really good.  We had the Toasted Coconut Martini, Dirty Martini, Pina Colada, Watermelon Martini, Arnold Palmer, Rum Punch and Long Island Ice Tea for drinks. Lots of Raves on the Rum Punch and Watermelon Martini. Dozen Raw Oysters, Lobster Corn Chowder, Riverhouse Oyster and Fried Calamari as our Starters. For the main course there was Crab Legs, Linguini and Clams, Halibut and Surf and Turf. Everyone was happy with the portions, pretty healthy. We closed out with Cheesecake, Tiramisu and Chocolate Ganache Cake with Coffee and Tea.  Honestly I don't know where they stored all this food but we sure had a good time. It's located near the water and you can watch the boats sail by as you enjoy your meal. There is outdoor seating and even though it is not a huge restaurant it doesn't feel cramped.;1;1;2
/biz/raymonds-montclair;Raymond's;American;Montclair, NJ;May 13, 2018;5;I heard about Raymond's from an old coworker. I was visiting my brother near the Montclair location and decided we would head out to NJ a little earlier to try Raymond's before our visit. We got there pretty early and was seated right away.  When you walk in it seems like a really fun diner. I loved the wall of colorful antique bottles. The staff was friendly and attentive.    I had the matcha latte and farm scramble. There wasn't enough rustic bread, it tasted soooo good. I enjoyed my meal and can't wait till our next visit to NJ so we can make a detour to Raymond's.;--;--;--
/biz/p-f-changs-westbury-4;P.F. Chang's;Chinese,Asian Fusion,Gluten-Free;Westbury, NY;May 13, 2018;4;"I came back today because my husband wanted the ribs even though we didn't enjoy our previous visit. We were very pleased with this visit.  We arrived about 15 minutes before our reservation and was seated within 5 minutes. Our server Carlos came over right away and took our drink order.  We had the Blushing Geisha and Chang's Mai Tai. We both agreed that we preferred the Blushing Geisha. As an appetizer we tried the Tempura Calamari and Vegetable which I really enjoyed. We made a meal by adding the Lobster & Shrimp Rice to the appetizer ribs.  The service was great. The drinks and food came out quick and the food tasted great. We are excited to return again since we used to refer to P.F. Chang's as ""Our Restaurant"" because it was our go to restaurant when we started dating.";--;--;--
/biz/usa-diner-rosedale;USA Diner;Diners;Laurelton, Rosedale;Apr 17, 2018;3;This diner is one of my usual go to Diners. I love their Chicken and Waffles. I usually order from the breakfast menu no matter what time of day I visit. The food is always good. Service at times can be slow but not to the point of walking out. I've been coming here for years and will continue to patronize this Diner.;1;--;1
/biz/houlihans-westbury-2;Houlihan's;Bars,New American;Westbury, NY;Apr 14, 2018;4;Due to my crazy work schedule most places are closed when I get off of work and I always end up at a Diner. Finally I did some research on yelp and realized that Houlihan's stays open late.  We arrived just after 12A and they were only seating in the bar area. We were afraid that the kitchen was already closed because we were hungry. A server came over after a short time with a menu and informed us that it was last call for the kitchen. We were happy and a little nervous because we would eat but would it be rushed.  We put in our drink orders(Lemon Drop Martini and a Pineapple Portrait Martini)right away while we quickly looked through the menu. We decided on Calamari as an appetizer, Onion Soup and Meatloaf with a side of sweet potato fries. Everything was enjoyed besides the Onion Soup and our waiter was very pleasant and patient with us.;2;1;1
/biz/bowlero-melville-melville;Bowlero Melville;Venues & Event Spaces,Eatertainment,Bowling;Melville, NY;Apr 10, 2018;4;Out with the ladies and was looking for somewhere for us to go after brunch and we ended up here. It was clean, not too crowded and the music was great. There was lots of parking and we did not have to wait long to get our shoes and lane. The attendant was very pleasant and when the machine was stuck it was taken care of immediately.  We enjoyed our two games while singing along with the music. At the end of the day it was under $100 for two games for five people along with shoe rentals.;1;--;--
/biz/dominos-pizza-jamaica;Domino's Pizza;Pizza,Chicken Wings,Sandwiches;Rochdale, Jamaica;Mar 14, 2018;5;What a difference a couple of years made. Gave the delivery another try and it was pretty quick. The food was hot and delish. We tried the pasta bowl, chicken wings and cheesy bread. Not one complaint. From now on we will continue to order from this location.;--;--;1
/biz/the-capital-grille-garden-city-3;The Capital Grille;Steakhouses,Seafood,Wine Bars;Garden City, NY;Jan 11, 2018;5;I've driven pass this restaurant many times while visiting Roosevelt Field Mall and other nearby restaurants and now  I've finally gotten the chance to give it a try.  This restaurant was requested by the birthday girl and it was not a disappointment at all.  We made reservations for a Saturday night and we informed the restaurant that we were celebrating a birthday. We were all excited because it was our first visit for everyone. Parking is a bit difficult when the mall is open so Valet parking is a must, and it is free. You can also text the valet five minutes before you're ready to leave and they will text you when it's up front. They also have a coat check. When we arrived we were seated right away even though our whole party was not all there, which I think is great.  The table was decorated and there was a card on the table from the staff which was a nice touch.  The ambience was romantic, warm and inviting. For appetizers we had the Lobster and Crab Cakes and the Pan-fried Calamari. We also had the Roasted Beet and Goat Cheese Salad and the Porcini Mushroom Bisque. For our Entrees we had the Dry Aged Porterhouse Steak and the Seared Tenderloin with Butter Poached Lobster Tails. For our sides we went with the Soy Glazed Brussels Sprout with Bacon, Sam's Mashed Potatoes and of course the Lobster Mac 'N' Cheese. Last but not least, we left room for dessert and we did not regret that decision. We tried the Capital Grille Cheesecake, Warm Double Chocolate Cake, Warm Fuji Apple Crostata and the birthday girl received a beautiful platter with a sampler of the Cheesecake and Chocolate Cake.  The service was impeccable from the valet to the waiter. The food was prepared perfectly and received raves from everyone. The birthday girl was very happy and we cannot wait to visit again.;5;1;1
/biz/jue-lan-club-new-york-3;Jue Lan Club;Chinese;Flatiron, New York;Jan 5, 2018;4;Food was delicious.  Environment was cozy and intimate.   Music was lively.  Drinks were flowing.  Was a great experience. Just beware it's pretty pricey but I'll be back again.;--;--;--
/biz/the-farm-on-adderley-brooklyn;The Farm On Adderley;New American,Breakfast & Brunch,Cocktail Bars;Flatbush, Brooklyn;Jan 5, 2018;5;My most recent visit was for my sister's birthday breakfast. And as I expected, she loved it and she's a tough critic. I have now brought one of my girlfriend, my niece, my mom, my husband and now my sister here for their birthday and everyone of them enjoyed the experience and raved about the food. I think this has now became my go to spot for birthday breakfast or brunch and sometimes dinner.  Can't wait for my next visit.;--;--;--
/biz/amc-roosevelt-field-8-garden-city;AMC Roosevelt Field 8;Cinema;Garden City, NY;Jan 5, 2018;5;This is my new go to movie theater. At times parking can be a bit difficult. This time it was a breeze. Purchasing tickets and our food was quick and the employees were pleasant. The seating was pretty comfortable. The only thing that was missing was my blanket. It's like having the comfort of being at home with the movie theater experience. Now the main reason for the five stars was the fact that my husband left his phone in the theater and we didn't realize until we were about 10 minutes away. The theater was already closed when we left but when we tracked the phone and returned to the theater about 20-25mins after we left the security and I believe the manager didn't hesitate to let my husband back in to look for his phone. My husband was able to retrieve his phone and I truly appreciate that they were so willing to help. Huge thank you to them!;--;--;--
/biz/juniors-restaurant-and-bakery-new-york-3;Junior's Restaurant & Bakery;American,Desserts,Breakfast & Brunch;Theater District, New York;Jan 5, 2018;4;We got here at the perfect time. We were looking for a quick bite and to get out of the cold before catching our show. We were pleasantly surprised to be seated right away even though it was pretty busy after checking out 2 other different eateries with a long wait list. We only had an hour so we decided to have tea to warm us up and appetizers to hold us over till after the show. I had fried calamari and my friend had the Thai barbecue ginger wings. They were both perfectly cooked and delicious. The service was great and quick which was perfect. Next time we visit we will give ourselves more time to enjoy the menu including the shakes and the famous cheesecakes.;--;--;--
/biz/shake-shack-new-york-44;Shake Shack;Burgers,Fast Food,Breakfast & Brunch;Midtown West, New York;Sep 22, 2017;4;This is gradually becoming my after a broadway show go to eatery as I wait for my train home. Burger, Fries and Shakes. Oh so good;--;--;--
/biz/kinky-boots-new-york;Kinky Boots;Performing Arts;Midtown West, New York;Sep 22, 2017;5;AMAZING! AMAZING! AMAZING! I saw the show on September 19th 2017 and the cast was absolutely AMAZING. I don't have words to explain the dancing, the singing, the humor and beautiful story.   I must point out that J. Harrison Ghee kept me enthralled from the moment Lola appeared. That voice, the dance and the comedic timing was impeccable. Delaney Westfall also caught my attention with her voice and physical comedy. I cannot wait to see the show again.;1;--;--
/biz/walkway-over-the-hudson-state-historic-park-poughkeepsie;Walkway Over the Hudson State Historic Park;Landmarks & Historical Buildings,Parks;Poughkeepsie, NY;Sep 12, 2017;4;This was the first stop on our road trip. We decided to ride over the walkway which was fun and pretty quick.  We entered on the Highland, NY side and there was a souvenir shop and a spot that you can purchase popcorn, ice cream bars, pretzels, water and sodas and our favorite thing which was the apple cider donuts. We brought at the beginning of our ride over the walkway and also on our way back over.  The Poughkeepsie side also had a souvenir shop and a coffee spot.  We didn't go beyond the parking lot on the Poughkeepsie side but the trails do continue on in either direction of the walkway for hikers and bikers to enjoy.  On our drive to the parking area we did notice restaurants or diners for a quick bite after your excursion.  We will be back again to enjoy the trails.;3;--;1
/biz/lake-george-lake-george-3;Lake George;Lakes;Lake George, NY;Sep 12, 2017;5;First trip was end of July and it was packed. Parking was impossible, walking down the sidewalk or along the lake was impossible but the scenery alone was worth it.  This time around we visited the weekend after Labor Day and it felt like we had the whole place to ourselves. We biked to the lake from our hotel. Sat and enjoyed the view of the lake and later enjoyed a game of miniature golf.  It's a great place to visit because it has something for everyone. You can bike, hike, lay out on the beach, enjoy water sports, go sightseeing on a boat, visit a museum and there are many food and bar options.  We can't wait for our next visit because there is always more things to try.;1;--;1
/biz/home2-suites-by-hilton-albany-airport-wolf-rd-albany;Home2 Suites by Hilton Albany Wolf Rd;Hotels;Albany, NY;Jul 31, 2017;5;Our stay at this hotel was great. All of our interactions with the staff was pleasant and they were very helpful.  We chose this hotel because it was the best price and it was centrally located for our trip to Lake George and Bash Bish Falls.  The hotel and our room was clean and the bed was comfortable. Even though the room was not huge it didn't feel cramped and it had everything we needed.  There is a lot of restaurants nearby, a mall about 3 or 4 blocks away and a huge park about 1 block from the hotel. We even got to enjoy our dessert sitting at the fire pit outside.  The only real downside was how packed the breakfast area was because it was pretty small area, we chose to eat breakfast elsewhere.  However I will definitely stay here again and recommend this location to friends.;1;--;1
/biz/ethos-gallery-51st-new-york;Ethos Gallery 51st;Greek;Midtown East, New York;Jul 14, 2017;5;We were given a Groupon by a great friend which turned out to be one of our best dates. We were made to feel very special by our waiter. He was very attentive and his suggestions on dessert and drinks were great. We enjoyed every minute and everything we ate. Can't rave enough about this place.;--;--;--
/biz/bowlero-chelsea-piers-new-york;Bowlero Chelsea Piers;Bowling,Venues & Event Spaces,Eatertainment;Chelsea, New York;Jul 14, 2017;4;The family visited on Father's Day and there was a bit of a wait but that was okay because the guys were at the bar and the ladies enjoyed the beautiful weather and view sitting outside and snapping pics. Everyone enjoyed the game. We didn't eat anything because we came after having dinner at a nearby restaurant but the beers were a bit pricey.;--;--;--
/biz/cold-stone-creamery-lynbrook;Cold Stone Creamery;Ice Cream & Frozen Yogurt,Custom Cakes,Cupcakes;Lynbrook, NY;Jul 14, 2017;3;We visited on Independence Day and there was only one family ahead of us which was great. I've been here before when the line is almost out the door. My only disappointment was that my ice cream mix was made before I was able to get around the family ahead of us to pick my mix ins and my waffle cup seemed a bit stale but I still enjoyed my ice cream mixture and my husband enjoyed his shake.;--;--;--
/biz/applebees-grill-bar-elmont;Applebee's Grill + Bar;American,Sports Bars,Burgers;Elmont, NY;Jul 14, 2017;3;Visited on a Sunday evening and the wait was about 5 minutes. The waiter was patient with us because we couldn't decide what we wanted to eat. Our drinks were good and the siracha shrimp and chicken wonton tacos were as well. The number one reason I visit is because I like the sweet potato fries. Overall our experience was good.;--;--;--
/biz/cesars-empanadas-brooklyn;Cesar's Empanadas;Food Trucks,Empanadas;Fort Greene, Brooklyn;Jun 28, 2017;4;This is a must have whenever I work Brooklyn. Today I even brought Empanadas and Tacos for dinner. I tried a Plantain Empanada today and it will not be the last time either. My go to Empanadas are the Spinach and Cheese and the Chicken is also great. I don't get to eat here that often but I have not ever been disappointed whenever I do. The staff is very friendly as well.;--;--;--
/biz/golden-reef-diner-rockville-centre;Golden Reef Diner;Diners;Rockville Centre, NY;May 13, 2017;4;Great place to grab a meal at anytime. Big portions and delicious. Friendly staff and always clean environment.;--;--;--
/biz/ihop-valley-stream;IHOP;Breakfast & Brunch,American,Burgers;Valley Stream, NY;Apr 10, 2017;4;Went with my mom and nephew to have breakfast and this experience was more enjoyable than my previous. The food was delicious and service was quick.;--;--;--
/biz/caesars-atlantic-city-atlantic-city-3;Caesars Atlantic City;Hotels,Casinos;Atlantic City, NJ;Apr 10, 2017;3;This is my second stay at Caesars and I was a bit disappointed. After paying over $400 for one night plus resort fees I'd expect a bit more than a room with paper thin walls, paper thin towels with stains and holes, holes in the carpet and a view of what looks like a fake balcony over the check in area that is covered in dust bunnies. Really disappointing after convincing my husband to stay at this hotel. I will say that every staff member that we interacted with was very pleasant and the beds were comfortable.;--;--;--
/biz/cold-stone-creamery-orlando-18;Cold Stone Creamery;Ice Cream & Frozen Yogurt;Dr. Phillips, Orlando;Feb 9, 2017;4;A sweet treat is a Great way to end a day at Universal. Location is perfect, at the entrance/exit to city walk.;--;--;--
